study_name,sample_id,species,region,flipper_length_mm,body_mass_g,sex
PAL0809,31,Chinstrap penguin (Pygoscelis antarctica),Anvers,187,3200,FEMALE
PAL0809,32,Chinstrap penguin (Pygoscelis antarctica),Anvers,201,4300,MALE
PAL0809,33,Chinstrap penguin (Pygoscelis antarctica),Anvers,187,3350,FEMALE
PAL0809,34,Chinstrap penguin (Pygoscelis antarctica),Anvers,203,4100,MALE
PAL0809,35,Chinstrap penguin (Pygoscelis antarctica),Anvers,195,3600,MALE
PAL0809,36,Chinstrap penguin (Pygoscelis antarctica),Anvers,199,3900,FEMALE
PAL0809,37,Chinstrap penguin (Pygoscelis antarctica),Anvers,195,3850,FEMALE
PAL0809,38,Chinstrap penguin (Pygoscelis antarctica),Anvers,210,4800,MALE
PAL0809,39,Chinstrap penguin (Pygoscelis antarctica),Anvers,192,2700,FEMALE
PAL0809,40,Chinstrap penguin (Pygoscelis antarctica),Anvers,205,4500,MALE
PAL0809,41,Chinstrap penguin (Pygoscelis antarctica),Anvers,210,3950,MALE
PAL0809,42,Chinstrap penguin (Pygoscelis antarctica),Anvers,187,3650,FEMALE
PAL0809,43,Chinstrap penguin (Pygoscelis antarctica),Anvers,196,3550,MALE
PAL0809,44,Chinstrap penguin (Pygoscelis antarctica),Anvers,196,3500,FEMALE
PAL0910,45,Chinstrap penguin (Pygoscelis antarctica),Anvers,196,3675,FEMALE
PAL0910,46,Chinstrap penguin (Pygoscelis antarctica),Anvers,201,4450,MALE
PAL0910,47,Chinstrap penguin (Pygoscelis antarctica),Anvers,190,3400,FEMALE
PAL0910,48,Chinstrap penguin (Pygoscelis antarctica),Anvers,212,4300,MALE
PAL0910,49,Chinstrap penguin (Pygoscelis antarctica),Anvers,187,3250,MALE
PAL0910,50,Chinstrap penguin (Pygoscelis antarctica),Anvers,198,3675,FEMALE
PAL0910,51,Chinstrap penguin (Pygoscelis antarctica),Anvers,199,3325,FEMALE
PAL0910,52,Chinstrap penguin (Pygoscelis antarctica),Anvers,201,3950,MALE
PAL0910,53,Chinstrap penguin (Pygoscelis antarctica),Anvers,193,3600,FEMALE
PAL0910,54,Chinstrap penguin (Pygoscelis antarctica),Anvers,203,4050,MALE
PAL0910,55,Chinstrap penguin (Pygoscelis antarctica),Anvers,187,3350,FEMALE
PAL0910,56,Chinstrap penguin (Pygoscelis antarctica),Anvers,197,3450,MALE
PAL0910,57,Chinstrap penguin (Pygoscelis antarctica),Anvers,191,3250,FEMALE
PAL0910,58,Chinstrap penguin (Pygoscelis antarctica),Anvers,203,4050,MALE
PAL0910,59,Chinstrap penguin (Pygoscelis antarctica),Anvers,202,3800,MALE
PAL0910,60,Chinstrap penguin (Pygoscelis antarctica),Anvers,194,3525,FEMALE
PAL0910,61,Chinstrap penguin (Pygoscelis antarctica),Anvers,206,3950,MALE
PAL0910,62,Chinstrap penguin (Pygoscelis antarctica),Anvers,189,3650,FEMALE
PAL0910,63,Chinstrap penguin (Pygoscelis antarctica),Anvers,195,3650,FEMALE
PAL0910,64,Chinstrap penguin (Pygoscelis antarctica),Anvers,207,4000,MALE
PAL0910,65,Chinstrap penguin (Pygoscelis antarctica),Anvers,202,3400,FEMALE
PAL0910,66,Chinstrap penguin (Pygoscelis antarctica),Anvers,193,3775,MALE
PAL0910,67,Chinstrap penguin (Pygoscelis antarctica),Anvers,210,4100,MALE
PAL0910,68,Chinstrap penguin (Pygoscelis antarctica),Anvers,198,3775,FEMALE
PAL0708,1,Gentoo penguin (Pygoscelis papua),Anvers,211,4500,FEMALE
PAL0708,2,Gentoo penguin (Pygoscelis papua),Anvers,230,5700,MALE
PAL0708,3,Gentoo penguin (Pygoscelis papua),Anvers,210,4450,FEMALE
PAL0708,4,Gentoo penguin (Pygoscelis papua),Anvers,218,5700,MALE
PAL0708,5,Gentoo penguin (Pygoscelis papua),Anvers,215,5400,MALE
PAL0708,6,Gentoo penguin (Pygoscelis papua),Anvers,210,4550,FEMALE
PAL0708,7,Gentoo penguin (Pygoscelis papua),Anvers,211,4800,FEMALE
PAL0708,8,Gentoo penguin (Pygoscelis papua),Anvers,219,5200,MALE
PAL0708,9,Gentoo penguin (Pygoscelis papua),Anvers,209,4400,FEMALE
PAL0708,10,Gentoo penguin (Pygoscelis papua),Anvers,215,5150,MALE
PAL0708,11,Gentoo penguin (Pygoscelis papua),Anvers,214,4650,FEMALE
PAL0708,12,Gentoo penguin (Pygoscelis papua),Anvers,216,5550,MALE
PAL0708,13,Gentoo penguin (Pygoscelis papua),Anvers,214,4650,FEMALE
PAL0708,14,Gentoo penguin (Pygoscelis papua),Anvers,213,5850,MALE
PAL0708,15,Gentoo penguin (Pygoscelis papua),Anvers,210,4200,FEMALE
PAL0708,16,Gentoo penguin (Pygoscelis papua),Anvers,217,5850,MALE
PAL0708,17,Gentoo penguin (Pygoscelis papua),Anvers,210,4150,FEMALE
PAL0708,18,Gentoo penguin (Pygoscelis papua),Anvers,221,6300,MALE
PAL0708,19,Gentoo penguin (Pygoscelis papua),Anvers,209,4800,FEMALE
PAL0708,20,Gentoo penguin (Pygoscelis papua),Anvers,222,5350,MALE
PAL0708,21,Gentoo penguin (Pygoscelis papua),Anvers,218,5700,MALE
PAL0708,22,Gentoo penguin (Pygoscelis papua),Anvers,215,5000,FEMALE
PAL0708,23,Gentoo penguin (Pygoscelis papua),Anvers,213,4400,FEMALE
PAL0708,24,Gentoo penguin (Pygoscelis papua),Anvers,215,5050,MALE
PAL0708,25,Gentoo penguin (Pygoscelis papua),Anvers,215,5000,FEMALE
PAL0708,26,Gentoo penguin (Pygoscelis papua),Anvers,215,5100,MALE
PAL0708,27,Gentoo penguin (Pygoscelis papua),Anvers,216,4100,
PAL0708,28,Gentoo penguin (Pygoscelis papua),Anvers,215,5650,MALE
PAL0708,29,Gentoo penguin (Pygoscelis papua),Anvers,210,4600,FEMALE
PAL0708,30,Gentoo penguin (Pygoscelis papua),Anvers,220,5550,MALE
PAL0708,31,Gentoo penguin (Pygoscelis papua),Anvers,222,5250,MALE
PAL0708,32,Gentoo penguin (Pygoscelis papua),Anvers,209,4700,FEMALE
PAL0708,33,Gentoo penguin (Pygoscelis papua),Anvers,207,5050,FEMALE
PAL0708,34,Gentoo penguin (Pygoscelis papua),Anvers,230,6050,MALE
PAL0809,35,Gentoo penguin (Pygoscelis papua),Anvers,220,5150,FEMALE
PAL0809,36,Gentoo penguin (Pygoscelis papua),Anvers,220,5400,MALE
PAL0809,37,Gentoo penguin (Pygoscelis papua),Anvers,213,4950,FEMALE
PAL0809,38,Gentoo penguin (Pygoscelis papua),Anvers,219,5250,MALE
PAL0809,39,Gentoo penguin (Pygoscelis papua),Anvers,208,4350,FEMALE
PAL0809,40,Gentoo penguin (Pygoscelis papua),Anvers,208,5350,MALE
PAL0809,41,Gentoo penguin (Pygoscelis papua),Anvers,208,3950,FEMALE
PAL0809,42,Gentoo penguin (Pygoscelis papua),Anvers,225,5700,MALE
PAL0809,43,Gentoo penguin (Pygoscelis papua),Anvers,210,4300,FEMALE
PAL0809,44,Gentoo penguin (Pygoscelis papua),Anvers,216,4750,MALE
PAL0809,45,Gentoo penguin (Pygoscelis papua),Anvers,222,5550,MALE
PAL0809,46,Gentoo penguin (Pygoscelis papua),Anvers,217,4900,FEMALE
PAL0809,47,Gentoo penguin (Pygoscelis papua),Anvers,210,4200,FEMALE
PAL0809,48,Gentoo penguin (Pygoscelis papua),Anvers,225,5400,MALE
PAL0809,49,Gentoo penguin (Pygoscelis papua),Anvers,213,5100,FEMALE
PAL0809,50,Gentoo penguin (Pygoscelis papua),Anvers,215,5300,MALE
PAL0809,51,Gentoo penguin (Pygoscelis papua),Anvers,210,4850,FEMALE
PAL0809,52,Gentoo penguin (Pygoscelis papua),Anvers,220,5300,MALE
PAL0809,53,Gentoo penguin (Pygoscelis papua),Anvers,210,4400,FEMALE
PAL0809,54,Gentoo penguin (Pygoscelis papua),Anvers,225,5000,MALE
PAL0809,55,Gentoo penguin (Pygoscelis papua),Anvers,217,4900,FEMALE
PAL0809,56,Gentoo penguin (Pygoscelis papua),Anvers,220,5050,MALE
PAL0809,57,Gentoo penguin (Pygoscelis papua),Anvers,208,4300,FEMALE
PAL0809,58,Gentoo penguin (Pygoscelis papua),Anvers,220,5000,MALE
PAL0809,59,Gentoo penguin (Pygoscelis papua),Anvers,208,4450,FEMALE
PAL0809,60,Gentoo penguin (Pygoscelis papua),Anvers,224,5550,MALE
PAL0809,61,Gentoo penguin (Pygoscelis papua),Anvers,208,4200,FEMALE
PAL0809,62,Gentoo penguin (Pygoscelis papua),Anvers,221,5300,MALE
PAL0809,63,Gentoo penguin (Pygoscelis papua),Anvers,214,4400,FEMALE
PAL0809,64,Gentoo penguin (Pygoscelis papua),Anvers,231,5650,MALE
PAL0809,65,Gentoo penguin (Pygoscelis papua),Anvers,219,4700,FEMALE
PAL0809,66,Gentoo penguin (Pygoscelis papua),Anvers,230,5700,MALE
PAL0809,67,Gentoo penguin (Pygoscelis papua),Anvers,214,4650,
PAL0809,68,Gentoo penguin (Pygoscelis papua),Anvers,229,5800,MALE
PAL0809,69,Gentoo penguin (Pygoscelis papua),Anvers,220,4700,FEMALE
PAL0809,70,Gentoo penguin (Pygoscelis papua),Anvers,223,5550,MALE
PAL0809,71,Gentoo penguin (Pygoscelis papua),Anvers,216,4750,FEMALE
PAL0809,72,Gentoo penguin (Pygoscelis papua),Anvers,221,5000,MALE
PAL0809,73,Gentoo penguin (Pygoscelis papua),Anvers,221,5100,MALE
PAL0809,74,Gentoo penguin (Pygoscelis papua),Anvers,217,5200,FEMALE
PAL0809,75,Gentoo penguin (Pygoscelis papua),Anvers,216,4700,FEMALE
PAL0809,76,Gentoo penguin (Pygoscelis papua),Anvers,230,5800,MALE
PAL0809,77,Gentoo penguin (Pygoscelis papua),Anvers,209,4600,FEMALE
PAL0809,78,Gentoo penguin (Pygoscelis papua),Anvers,220,6000,MALE
PAL0809,79,Gentoo penguin (Pygoscelis papua),Anvers,215,4750,FEMALE
PAL0809,80,Gentoo penguin (Pygoscelis papua),Anvers,223,5950,MALE
PAL0910,81,Gentoo penguin (Pygoscelis papua),Anvers,212,4625,FEMALE
PAL0910,82,Gentoo penguin (Pygoscelis papua),Anvers,221,5450,MALE
PAL0910,83,Gentoo penguin (Pygoscelis papua),Anvers,212,4725,FEMALE
PAL0910,84,Gentoo penguin (Pygoscelis papua),Anvers,224,5350,MALE
PAL0910,85,Gentoo penguin (Pygoscelis papua),Anvers,212,4750,FEMALE
PAL0910,86,Gentoo penguin (Pygoscelis papua),Anvers,228,5600,MALE
PAL0910,87,Gentoo penguin (Pygoscelis papua),Anvers,218,4600,FEMALE
PAL0910,88,Gentoo penguin (Pygoscelis papua),Anvers,218,5300,MALE
PAL0910,89,Gentoo penguin (Pygoscelis papua),Anvers,212,4875,FEMALE
PAL0910,90,Gentoo penguin (Pygoscelis papua),Anvers,230,5550,MALE
PAL0910,91,Gentoo penguin (Pygoscelis papua),Anvers,218,4950,FEMALE
PAL0910,92,Gentoo penguin (Pygoscelis papua),Anvers,228,5400,MALE
PAL0910,93,Gentoo penguin (Pygoscelis papua),Anvers,212,4750,FEMALE
PAL0910,94,Gentoo penguin (Pygoscelis papua),Anvers,224,5650,MALE
PAL0910,95,Gentoo penguin (Pygoscelis papua),Anvers,214,4850,FEMALE
PAL0910,96,Gentoo penguin (Pygoscelis papua),Anvers,226,5200,MALE
PAL0910,97,Gentoo penguin (Pygoscelis papua),Anvers,216,4925,MALE
PAL0910,98,Gentoo penguin (Pygoscelis papua),Anvers,222,4875,FEMALE
PAL0910,99,Gentoo penguin (Pygoscelis papua),Anvers,203,4625,FEMALE
PAL0910,100,Gentoo penguin (Pygoscelis papua),Anvers,225,5250,MALE
PAL0910,101,Gentoo penguin (Pygoscelis papua),Anvers,219,4850,FEMALE
PAL0910,102,Gentoo penguin (Pygoscelis papua),Anvers,228,5600,MALE
PAL0910,103,Gentoo penguin (Pygoscelis papua),Anvers,215,4975,FEMALE
PAL0910,104,Gentoo penguin (Pygoscelis papua),Anvers,228,5500,MALE
PAL0910,105,Gentoo penguin (Pygoscelis papua),Anvers,216,4725,
PAL0910,106,Gentoo penguin (Pygoscelis papua),Anvers,215,5500,MALE
PAL0910,107,Gentoo penguin (Pygoscelis papua),Anvers,210,4700,FEMALE
PAL0910,108,Gentoo penguin (Pygoscelis papua),Anvers,219,5500,MALE
PAL0910,109,Gentoo penguin (Pygoscelis papua),Anvers,208,4575,FEMALE
PAL0910,110,Gentoo penguin (Pygoscelis papua),Anvers,209,5500,MALE
PAL0910,111,Gentoo penguin (Pygoscelis papua),Anvers,216,5000,FEMALE
PAL0910,112,Gentoo penguin (Pygoscelis papua),Anvers,229,5950,MALE
PAL0910,113,Gentoo penguin (Pygoscelis papua),Anvers,213,4650,FEMALE
PAL0910,114,Gentoo penguin (Pygoscelis papua),Anvers,230,5500,MALE
PAL0910,115,Gentoo penguin (Pygoscelis papua),Anvers,217,4375,FEMALE
PAL0910,116,Gentoo penguin (Pygoscelis papua),Anvers,230,5850,MALE
PAL0910,117,Gentoo penguin (Pygoscelis papua),Anvers,217,4875,.
PAL0910,118,Gentoo penguin (Pygoscelis papua),Anvers,222,6000,MALE
PAL0910,119,Gentoo penguin (Pygoscelis papua),Anvers,214,4925,FEMALE
PAL0910,120,Gentoo penguin (Pygoscelis papua),Anvers,,,
PAL0910,121,Gentoo penguin (Pygoscelis papua),Anvers,215,4850,FEMALE
PAL0910,122,Gentoo penguin (Pygoscelis papua),Anvers,222,5750,MALE
PAL0910,123,Gentoo penguin (Pygoscelis papua),Anvers,212,5200,FEMALE
PAL0910,124,Gentoo penguin (Pygoscelis papua),Anvers,213,5400,MALE
PAL0708,1,Adelie Penguin (Pygoscelis adeliae),Anvers,181,3750,MALE
PAL0708,2,Adelie Penguin (Pygoscelis adeliae),Anvers,186,3800,FEMALE
PAL0708,3,Adelie Penguin (Pygoscelis adeliae),Anvers,195,3250,FEMALE
PAL0708,4,Adelie Penguin (Pygoscelis adeliae),Anvers,,,
PAL0708,5,Adelie Penguin (Pygoscelis adeliae),Anvers,193,3450,FEMALE
PAL0708,6,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3650,MALE
PAL0708,7,Adelie Penguin (Pygoscelis adeliae),Anvers,181,3625,FEMALE
PAL0708,8,Adelie Penguin (Pygoscelis adeliae),Anvers,195,4675,MALE
PAL0708,9,Adelie Penguin (Pygoscelis adeliae),Anvers,193,3475,
PAL0708,10,Adelie Penguin (Pygoscelis adeliae),Anvers,190,4250,
PAL0708,11,Adelie Penguin (Pygoscelis adeliae),Anvers,186,3300,
PAL0708,12,Adelie Penguin (Pygoscelis adeliae),Anvers,180,3700,
PAL0708,13,Adelie Penguin (Pygoscelis adeliae),Anvers,182,3200,FEMALE
PAL0708,14,Adelie Penguin (Pygoscelis adeliae),Anvers,191,3800,MALE
PAL0708,15,Adelie Penguin (Pygoscelis adeliae),Anvers,198,4400,MALE
PAL0708,16,Adelie Penguin (Pygoscelis adeliae),Anvers,185,3700,FEMALE
PAL0708,17,Adelie Penguin (Pygoscelis adeliae),Anvers,195,3450,FEMALE
PAL0708,18,Adelie Penguin (Pygoscelis adeliae),Anvers,197,4500,MALE
PAL0708,19,Adelie Penguin (Pygoscelis adeliae),Anvers,184,3325,FEMALE
PAL0708,20,Adelie Penguin (Pygoscelis adeliae),Anvers,194,4200,MALE
PAL0708,21,Adelie Penguin (Pygoscelis adeliae),Anvers,174,3400,FEMALE
PAL0708,22,Adelie Penguin (Pygoscelis adeliae),Anvers,180,3600,MALE
PAL0708,23,Adelie Penguin (Pygoscelis adeliae),Anvers,189,3800,FEMALE
PAL0708,24,Adelie Penguin (Pygoscelis adeliae),Anvers,185,3950,MALE
PAL0708,25,Adelie Penguin (Pygoscelis adeliae),Anvers,180,3800,MALE
PAL0708,26,Adelie Penguin (Pygoscelis adeliae),Anvers,187,3800,FEMALE
PAL0708,27,Adelie Penguin (Pygoscelis adeliae),Anvers,183,3550,MALE
PAL0708,28,Adelie Penguin (Pygoscelis adeliae),Anvers,187,3200,FEMALE
PAL0708,29,Adelie Penguin (Pygoscelis adeliae),Anvers,172,3150,FEMALE
PAL0708,30,Adelie Penguin (Pygoscelis adeliae),Anvers,180,3950,MALE
PAL0708,31,Adelie Penguin (Pygoscelis adeliae),Anvers,178,3250,FEMALE
PAL0708,32,Adelie Penguin (Pygoscelis adeliae),Anvers,178,3900,MALE
PAL0708,33,Adelie Penguin (Pygoscelis adeliae),Anvers,188,3300,FEMALE
PAL0708,34,Adelie Penguin (Pygoscelis adeliae),Anvers,184,3900,MALE
PAL0708,35,Adelie Penguin (Pygoscelis adeliae),Anvers,195,3325,FEMALE
PAL0708,36,Adelie Penguin (Pygoscelis adeliae),Anvers,196,4150,MALE
PAL0708,37,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3950,MALE
PAL0708,38,Adelie Penguin (Pygoscelis adeliae),Anvers,180,3550,FEMALE
PAL0708,39,Adelie Penguin (Pygoscelis adeliae),Anvers,181,3300,FEMALE
PAL0708,40,Adelie Penguin (Pygoscelis adeliae),Anvers,184,4650,MALE
PAL0708,41,Adelie Penguin (Pygoscelis adeliae),Anvers,182,3150,FEMALE
PAL0708,42,Adelie Penguin (Pygoscelis adeliae),Anvers,195,3900,MALE
PAL0708,43,Adelie Penguin (Pygoscelis adeliae),Anvers,186,3100,FEMALE
PAL0708,44,Adelie Penguin (Pygoscelis adeliae),Anvers,196,4400,MALE
PAL0708,45,Adelie Penguin (Pygoscelis adeliae),Anvers,185,3000,FEMALE
PAL0708,46,Adelie Penguin (Pygoscelis adeliae),Anvers,190,4600,MALE
PAL0708,47,Adelie Penguin (Pygoscelis adeliae),Anvers,182,3425,MALE
PAL0708,48,Adelie Penguin (Pygoscelis adeliae),Anvers,179,2975,
PAL0708,49,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3450,FEMALE
PAL0708,50,Adelie Penguin (Pygoscelis adeliae),Anvers,191,4150,MALE
PAL0809,51,Adelie Penguin (Pygoscelis adeliae),Anvers,186,3500,FEMALE
PAL0809,52,Adelie Penguin (Pygoscelis adeliae),Anvers,188,4300,MALE
PAL0809,53,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3450,FEMALE
PAL0809,54,Adelie Penguin (Pygoscelis adeliae),Anvers,200,4050,MALE
PAL0809,55,Adelie Penguin (Pygoscelis adeliae),Anvers,187,2900,FEMALE
PAL0809,56,Adelie Penguin (Pygoscelis adeliae),Anvers,191,3700,MALE
PAL0809,57,Adelie Penguin (Pygoscelis adeliae),Anvers,186,3550,FEMALE
PAL0809,58,Adelie Penguin (Pygoscelis adeliae),Anvers,193,3800,MALE
PAL0809,59,Adelie Penguin (Pygoscelis adeliae),Anvers,181,2850,FEMALE
PAL0809,60,Adelie Penguin (Pygoscelis adeliae),Anvers,194,3750,MALE
PAL0809,61,Adelie Penguin (Pygoscelis adeliae),Anvers,185,3150,FEMALE
PAL0809,62,Adelie Penguin (Pygoscelis adeliae),Anvers,195,4400,MALE
PAL0809,63,Adelie Penguin (Pygoscelis adeliae),Anvers,185,3600,FEMALE
PAL0809,64,Adelie Penguin (Pygoscelis adeliae),Anvers,192,4050,MALE
PAL0809,65,Adelie Penguin (Pygoscelis adeliae),Anvers,184,2850,FEMALE
PAL0809,66,Adelie Penguin (Pygoscelis adeliae),Anvers,192,3950,MALE
PAL0809,67,Adelie Penguin (Pygoscelis adeliae),Anvers,195,3350,FEMALE
PAL0809,68,Adelie Penguin (Pygoscelis adeliae),Anvers,188,4100,MALE
PAL0809,69,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3050,FEMALE
PAL0809,70,Adelie Penguin (Pygoscelis adeliae),Anvers,198,4450,MALE
PAL0809,71,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3600,FEMALE
PAL0809,72,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3900,MALE
PAL0809,73,Adelie Penguin (Pygoscelis adeliae),Anvers,196,3550,FEMALE
PAL0809,74,Adelie Penguin (Pygoscelis adeliae),Anvers,197,4150,MALE
PAL0809,75,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3700,FEMALE
PAL0809,76,Adelie Penguin (Pygoscelis adeliae),Anvers,195,4250,MALE
PAL0809,77,Adelie Penguin (Pygoscelis adeliae),Anvers,191,3700,FEMALE
PAL0809,78,Adelie Penguin (Pygoscelis adeliae),Anvers,184,3900,MALE
PAL0809,79,Adelie Penguin (Pygoscelis adeliae),Anvers,187,3550,FEMALE
PAL0809,80,Adelie Penguin (Pygoscelis adeliae),Anvers,195,4000,MALE
PAL0809,81,Adelie Penguin (Pygoscelis adeliae),Anvers,189,3200,FEMALE
PAL0809,82,Adelie Penguin (Pygoscelis adeliae),Anvers,196,4700,MALE
PAL0809,83,Adelie Penguin (Pygoscelis adeliae),Anvers,187,3800,FEMALE
PAL0809,84,Adelie Penguin (Pygoscelis adeliae),Anvers,193,4200,MALE
PAL0809,85,Adelie Penguin (Pygoscelis adeliae),Anvers,191,3350,FEMALE
PAL0809,86,Adelie Penguin (Pygoscelis adeliae),Anvers,194,3550,MALE
PAL0809,87,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3800,MALE
PAL0809,88,Adelie Penguin (Pygoscelis adeliae),Anvers,189,3500,FEMALE
PAL0809,89,Adelie Penguin (Pygoscelis adeliae),Anvers,189,3950,MALE
PAL0809,90,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3600,FEMALE
PAL0809,91,Adelie Penguin (Pygoscelis adeliae),Anvers,202,3550,FEMALE
PAL0809,92,Adelie Penguin (Pygoscelis adeliae),Anvers,205,4300,MALE
PAL0809,93,Adelie Penguin (Pygoscelis adeliae),Anvers,185,3400,FEMALE
PAL0809,94,Adelie Penguin (Pygoscelis adeliae),Anvers,186,4450,MALE
PAL0809,95,Adelie Penguin (Pygoscelis adeliae),Anvers,187,3300,FEMALE
PAL0809,96,Adelie Penguin (Pygoscelis adeliae),Anvers,208,4300,MALE
PAL0809,97,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3700,FEMALE
PAL0809,98,Adelie Penguin (Pygoscelis adeliae),Anvers,196,4350,MALE
PAL0809,99,Adelie Penguin (Pygoscelis adeliae),Anvers,178,2900,FEMALE
PAL0809,100,Adelie Penguin (Pygoscelis adeliae),Anvers,192,4100,MALE
PAL0910,101,Adelie Penguin (Pygoscelis adeliae),Anvers,192,3725,FEMALE
PAL0910,102,Adelie Penguin (Pygoscelis adeliae),Anvers,203,4725,MALE
PAL0910,103,Adelie Penguin (Pygoscelis adeliae),Anvers,183,3075,FEMALE
PAL0910,104,Adelie Penguin (Pygoscelis adeliae),Anvers,190,4250,MALE
PAL0910,105,Adelie Penguin (Pygoscelis adeliae),Anvers,193,2925,FEMALE
PAL0910,106,Adelie Penguin (Pygoscelis adeliae),Anvers,184,3550,MALE
PAL0910,107,Adelie Penguin (Pygoscelis adeliae),Anvers,199,3750,FEMALE
PAL0910,108,Adelie Penguin (Pygoscelis adeliae),Anvers,190,3900,MALE
PAL0910,109,Adelie Penguin (Pygoscelis adeliae),Anvers,181,3175,FEMALE
PAL0910,110,Adelie Penguin (Pygoscelis adeliae),Anvers,197,4775,MALE
PAL0910,111,Adelie Penguin (Pygoscelis adeliae),Anvers,198,3825,FEMALE
PAL0910,112,Adelie Penguin (Pygoscelis adeliae),Anvers,191,4600,MALE
PAL0910,113,Adelie Penguin (Pygoscelis adeliae),Anvers,193,3200,FEMALE
PAL0910,114,Adelie Penguin (Pygoscelis adeliae),Anvers,197,4275,MALE
PAL0910,115,Adelie Penguin (Pygoscelis adeliae),Anvers,191,3900,FEMALE
PAL0910,116,Adelie Penguin (Pygoscelis adeliae),Anvers,196,4075,MALE
PAL0910,117,Adelie Penguin (Pygoscelis adeliae),Anvers,188,2900,FEMALE
PAL0910,118,Adelie Penguin (Pygoscelis adeliae),Anvers,199,3775,MALE
PAL0910,119,Adelie Penguin (Pygoscelis adeliae),Anvers,189,3350,FEMALE
PAL0910,120,Adelie Penguin (Pygoscelis adeliae),Anvers,189,3325,MALE
PAL0910,121,Adelie Penguin (Pygoscelis adeliae),Anvers,187,3150,FEMALE
PAL0910,122,Adelie Penguin (Pygoscelis adeliae),Anvers,198,3500,MALE
PAL0910,123,Adelie Penguin (Pygoscelis adeliae),Anvers,176,3450,FEMALE
PAL0910,124,Adelie Penguin (Pygoscelis adeliae),Anvers,202,3875,MALE
PAL0910,125,Adelie Penguin (Pygoscelis adeliae),Anvers,186,3050,FEMALE
PAL0910,126,Adelie Penguin (Pygoscelis adeliae),Anvers,199,4000,MALE
PAL0910,127,Adelie Penguin (Pygoscelis adeliae),Anvers,191,3275,FEMALE
PAL0910,128,Adelie Penguin (Pygoscelis adeliae),Anvers,195,4300,MALE
PAL0910,129,Adelie Penguin (Pygoscelis adeliae),Anvers,191,3050,FEMALE
PAL0910,130,Adelie Penguin (Pygoscelis adeliae),Anvers,210,4000,MALE
